type,place,address,price,beds,baths,sqft,url,work_time,work_lines,friend_time,friend_lines,park_acres,Borough,arrests
Rental Unit,Stuyvesant Heights,349 Chauncey Street #1,2250,1 Bed,1 Bath,NA,https://streeteasy.com/building/349-chauncey-street-brooklyn/1,39,1,82,2,2.6,Brooklyn,7.3
Rental Unit,Forest Hills,111-32 76th Avenue #5F,2150,1 Bed,1 Bath,NA,https://streeteasy.com/building/111_32-76-avenue-forest_hills/5f,64,1,48,2,37,Queens,1.1
Rental Unit,Bay Ridge,218 74th Street #E2,1600,Studio,1 Bath,600,https://streeteasy.com/building/218-74-street-brooklyn/e2,54,1,88,2,17.6,Brooklyn,9.9
Rental Unit,South Harlem,1309 Fifth Avenue #4C,2400,Studio,1 Bath,NA,https://streeteasy.com/building/the-heritage-at-1301-5th-avenue/4c,36,1,47,2,79.2,Manhattan,6.7
Rental Unit,Hamilton Heights,610 West 145th Street #4Z,2275,1 Bed,1 Bath,NA,https://streeteasy.com/building/606-west-145-street-new_york/4z,38,2,62,2,22.2,Manhattan,17.1
Rental Unit,Washington Heights,80 Haven Avenue #1Z,2275,1 Bed,1 Bath,NA,https://streeteasy.com/building/80-haven-avenue-new_york/1z,47,1,74,2,14.6,Manhattan,2
Rental Unit,Flushing,143-45 Sanford Avenue #407,2150,1 Bed,1 Bath,NA,https://streeteasy.com/building/143_45-sanford-avenue-flushing/407,67,3,55,3,1,Queens,1.9
Rental Unit,Flushing,132-70 Sanford Avenue #4G,2100,1 Bed,1 Bath,NA,https://streeteasy.com/building/132_70-sanford-avenue-flushing/4g,60,2,47,2,34.5,Queens,10.4
Rental Unit,Flushing,132-70 Sanford Avenue #5D,2150,1 Bed,1 Bath,NA,https://streeteasy.com/building/132_70-sanford-avenue-flushing/5d,60,2,47,2,34.5,Queens,10.4
Rental Unit,Park Slope,435 Seventh Avenue #1B,2200,Studio,1 Bath,NA,https://streeteasy.com/building/435-7-avenue-brooklyn/1b,35,2,79,2,28.1,Brooklyn,0.7
Rental Unit,Murray Hill (Queens),151-10 35th Avenue #0FF,1899,1 Bed,1 Bath,NA,https://streeteasy.com/building/151_10-35-avenue-flushing/0ff,67,2,65,3,9.7,Queens,0.9
Rental Unit,Flushing,143-45 Sanford Avenue #508,1700,Studio,1 Bath,NA,https://streeteasy.com/building/143_45-sanford-avenue-flushing/508,67,3,55,3,1,Queens,1.9
Rental Unit,West Harlem,25 Saint Nicholas Terrace #47,2250,1 Bed,1 Bath,NA,https://streeteasy.com/building/25-st-nicholas-terrace-new_york/47,34,1,62,2,36.6,Manhattan,2.7
Co-op,Forest Hills,67-30 Dartmouth Street #6G,1650,Studio,1 Bath,NA,https://streeteasy.com/building/67_30-dartmouth-street-forest_hills/6g,64,1,55,2,1.1,Queens,1.4
Rental Unit,Ocean Hill,2164 Fulton Street #1R,2000,Studio,1 Bath,NA,https://streeteasy.com/building/2164-fulton-street-brooklyn/1r,35,1,79,2,1.8,Brooklyn,6.9
Rental Unit,Lenox Hill,167 East 77th Street #14,2150,Studio,1 Bath,NA,https://streeteasy.com/building/167-east-77-street-new_york/14,29,1,34,2,22.3,Manhattan,0.7
Co-op,Hudson Heights,120 Bennett Avenue #3D,2400,1 Bed,1 Bath,NA,https://streeteasy.com/building/120-bennett-avenue-new_york/3d,47,1,74,2,16.4,Manhattan,51.4
Rental Unit,Upper West Side,245 West 75th Street #2A,2100,Studio,1 Bath,NA,https://streeteasy.com/building/245-west-75-street-new_york/2a,28,1,51,1,22.3,Manhattan,4.8
Rental Unit,East Harlem,258 East 112nd Street #2C,2175,1 Bed,1 Bath,650,https://streeteasy.com/building/258-east-112-street-new_york/2c,45,1,47,2,3.3,Manhattan,10.5
Co-op,Forest Hills,67-11 Yellowstone Boulevard #3H,2100,1 Bed,1 Bath,NA,https://streeteasy.com/building/67_07-yellowstone-blvd-forest_hills/3h,64,1,55,2,1.9,Queens,0.7
Co-op,Kew Gardens,84-25 118th Street #2E,2100,1 Bed,1 Bath,840,https://streeteasy.com/building/84_25-118-street-kew_gardens/2e,58,1,96,2,34.4,Queens,0.6
Rental Unit,Hudson Heights,733 West 183rd Street #4H,1825,1 Bed,1 Bath,NA,https://streeteasy.com/building/731-west-183-street-new_york/4h,41,1,62,2,10.1,Manhattan,1
Rental Unit,Fort Hamilton,150 95th Street #1,1900,1 Bed,1 Bath,NA,https://streeteasy.com/building/150-95-street-brooklyn/1,54,1,88,2,23.9,Brooklyn,1.9
Rental Unit,Astoria,36-16 Astoria Boulevard South #3E,2300,1 Bed,1 Bath,NA,https://streeteasy.com/building/36_12-astoria-boulevard-s-astoria/3e,52,1,20,0,1.1,Queens,2.3
Rental Unit,Stuyvesant Heights,1086 Broadway #302,2300,1 Bed,1 Bath,NA,https://streeteasy.com/building/1086-broadway-brooklyn/302,28,1,65,2,1.6,Brooklyn,8
